Topics,N_Neighbors,N_Components,Coherence
2,5,3,0.580706985875041
2,5,5,0.6236382284863745
2,5,7,0.5991402770289003
2,10,3,0.5573831935335544
2,10,5,0.6261965487075167
2,10,7,0.5777200381848336
2,15,3,0.6062013082177437
2,15,5,0.5931899847852623
2,15,7,0.582422193617173
3,5,3,0.6022152160788974
3,5,5,0.5985515919384727
3,5,7,0.5982513152072712
3,10,3,0.5990782468266059
3,10,5,0.6655093167496212
3,10,7,0.6099111910766886
3,15,3,0.6427243977917786
3,15,5,0.622704950954766
3,15,7,0.5901863658109906
4,5,3,0.6085081517118343
4,5,5,0.5938898793333206
4,5,7,0.6043061135516791
4,10,3,0.6007464695451643
4,10,5,0.5988786609794593
4,10,7,0.6019018821942207
4,15,3,0.5933771034027513
4,15,5,0.6196640525632164
4,15,7,0.5623849072999864
5,5,3,0.5974370477820505
5,5,5,0.5878103279195555
5,5,7,0.5963559829021954
5,10,3,0.5872618885891862
5,10,5,0.6322170921958431
5,10,7,0.5940894266532355
5,15,3,0.6057851459448143
5,15,5,0.5955622374040602
5,15,7,0.5932268015403587
6,5,3,0.5837963006049687
6,5,5,0.6130526145575964
6,5,7,0.6040424240318136
6,10,3,0.6029100545472117
6,10,5,0.6479724890130915
6,10,7,0.5847630799405651
6,15,3,0.6001150728075729
6,15,5,0.6091213094158829
6,15,7,0.5636715067076925
7,5,3,0.588676726987452
7,5,5,0.6062028409908959
7,5,7,0.6092701587646118
7,10,3,0.581279881176563
7,10,5,0.6196198266310753
7,10,7,0.5965800951961358
7,15,3,0.5853260195953431
7,15,5,0.609998189488531
7,15,7,0.6180146762822246
8,5,3,0.6142143722844017
8,5,5,0.6261086324052354
8,5,7,0.5907535092347256
8,10,3,0.5910841058469144
8,10,5,0.6079904267512545
8,10,7,0.6107179173828743
8,15,3,0.6184019166979242
8,15,5,0.6097663939413716
8,15,7,0.5967235505434628
9,5,3,0.611034378595143
9,5,5,0.6114150295991375
9,5,7,0.6157101461798538
9,10,3,0.5733865852779038
9,10,5,0.6030561650189702
9,10,7,0.5951449340183447
9,15,3,0.6216719619809813
9,15,5,0.6129968636603392
9,15,7,0.5705735339125259
10,5,3,0.6049905184220915
10,5,5,0.5976093173466707
10,5,7,0.5834411601771465
10,10,3,0.5844896540913528
10,10,5,0.5772313277179
10,10,7,0.6292700036280466
10,15,3,0.6095739625991943
10,15,5,0.6037348734158772
10,15,7,0.5837442958133676
