Topics,N_Neighbors,N_Components,Coherence
2,5,3,0.6034294009960157
2,5,5,0.5997739655727836
2,5,7,0.6072323302259871
2,10,3,0.6122808198782256
2,10,5,0.621010455102078
2,10,7,0.6219226646587298
2,15,3,0.6335767387185741
2,15,5,0.625054677731548
2,15,7,0.6026597083695574
3,5,3,0.6024406880028209
3,5,5,0.6104779414634641
3,5,7,0.6301205845191586
3,10,3,0.6103786740982455
3,10,5,0.6205100517262458
3,10,7,0.6190069889975209
3,15,3,0.6256045366650789
3,15,5,0.6227954915068102
3,15,7,0.6294945516530042
4,5,3,0.613764578572421
4,5,5,0.6086707529849004
4,5,7,0.6145438928837869
4,10,3,0.614362680817756
4,10,5,0.5967426903739996
4,10,7,0.6055382420482299
4,15,3,0.6463437055855282
4,15,5,0.6460986159005607
4,15,7,0.6195909194483307
5,5,3,0.6275993428795356
5,5,5,0.6158915759724826
5,5,7,0.6111530875389198
5,10,3,0.6249646924905721
5,10,5,0.6161191668042129
5,10,7,0.6176582133758666
5,15,3,0.6312316116813885
5,15,5,0.6087743460986355
5,15,7,0.619718996295467
6,5,3,0.5956151770828055
6,5,5,0.6108703394266113
6,5,7,0.610215860173855
6,10,3,0.6235043658905176
6,10,5,0.6149596505824935
6,10,7,0.596058777522033
6,15,3,0.6221479256151253
6,15,5,0.6259986246084005
6,15,7,0.6309543971758933
7,5,3,0.6095874540320461
7,5,5,0.6044006319551827
7,5,7,0.6006694642477376
7,10,3,0.6138804963507707
7,10,5,0.5917971701345501
7,10,7,0.6220183282645392
7,15,3,0.6096073660369562
7,15,5,0.6199589210441071
7,15,7,0.619915769872112
8,5,3,0.6140033549682912
8,5,5,0.6214246459678404
8,5,7,0.6054716954636217
8,10,3,0.6129410838591322
8,10,5,0.6072679041468494
8,10,7,0.616527985258062
8,15,3,0.6071109179090909
8,15,5,0.6267038826387208
8,15,7,0.6175750226778809
9,5,3,0.6138194077745
9,5,5,0.6103261956203091
9,5,7,0.6075918325691447
9,10,3,0.6155501541017747
9,10,5,0.5967011918163415
9,10,7,0.6312045161401367
9,15,3,0.6067608769035114
9,15,5,0.6184876727095076
9,15,7,0.6338408336506222
10,5,3,0.6090811033078245
10,5,5,0.6154769641833646
10,5,7,0.6050236892504889
10,10,3,0.6169675103308928
10,10,5,0.6122279864014332
10,10,7,0.5863334372888285
10,15,3,0.6066181607322997
10,15,5,0.6144435855464091
10,15,7,0.6093780146512945
