Validation_Set,Topics,Alpha,Beta,Coherence,
30% Corpus,2,0.01,0.01,0.4466662423905847,
30% Corpus,2,0.01,0.31,0.4466662423905847,
30% Corpus,2,0.01,0.61,0.44066936209399776,
30% Corpus,2,0.01,0.9099999999999999,0.44066936209399776,
30% Corpus,2,0.01,symmetric,0.44066936209399776,
30% Corpus,2,0.31,0.01,0.46075058213498304,
30% Corpus,2,0.31,0.31,0.4516291016258142,
30% Corpus,2,0.31,0.61,0.46117556651205743,
30% Corpus,2,0.31,0.9099999999999999,0.44689691854095026,
30% Corpus,2,0.31,symmetric,0.45583433766749304,
30% Corpus,2,0.61,0.01,0.46511710005931695,
30% Corpus,2,0.61,0.31,0.4562446630373099,
30% Corpus,2,0.61,0.61,0.45927819792005864,
30% Corpus,2,0.61,0.9099999999999999,0.45927819792005853,
30% Corpus,2,0.61,symmetric,0.45927819792005853,
30% Corpus,2,0.9099999999999999,0.01,0.4673118107288561,
30% Corpus,2,0.9099999999999999,0.31,0.4637623849805156,
30% Corpus,2,0.9099999999999999,0.61,0.46376238498051564,
30% Corpus,2,0.9099999999999999,0.9099999999999999,0.45557889731772294,
30% Corpus,2,0.9099999999999999,symmetric,0.45518829507789493,
30% Corpus,2,symmetric,0.01,0.46481875293993047,
30% Corpus,2,symmetric,0.31,0.45927819792005864,
30% Corpus,2,symmetric,0.61,0.4584745812528961,
30% Corpus,2,symmetric,0.9099999999999999,0.46345342745581064,
30% Corpus,2,symmetric,symmetric,0.45927819792005853,
30% Corpus,2,asymmetric,0.01,0.47365481194466397,
30% Corpus,2,asymmetric,0.31,0.4800443428517002,
30% Corpus,2,asymmetric,0.61,0.4892521654825305,
30% Corpus,2,asymmetric,0.9099999999999999,0.495370411,
30% Corpus,2,asymmetric,symmetric,0.4947599901148052,
30% Corpus,3,0.01,0.01,0.46237304338018764,
30% Corpus,3,0.01,0.31,0.46165777915670264,
30% Corpus,3,0.01,0.61,0.5282925474010584,
30% Corpus,3,0.01,0.9099999999999999,0.45316360611474105,
30% Corpus,3,0.01,symmetric,0.4616577791567027,
30% Corpus,3,0.31,0.01,0.47343076633067555,
30% Corpus,3,0.31,0.31,0.4705472719882627,
30% Corpus,3,0.31,0.61,0.49401361381886993,
30% Corpus,3,0.31,0.9099999999999999,0.5220790083179753,
30% Corpus,3,0.31,symmetric,0.4705472719882627,
30% Corpus,3,0.61,0.01,0.47626130560930174,
30% Corpus,3,0.61,0.31,0.47883474647973473,
30% Corpus,3,0.61,0.61,0.4804269234274993,
30% Corpus,3,0.61,0.9099999999999999,0.5053714118883298,
30% Corpus,3,0.61,symmetric,0.47883474647973473,
30% Corpus,3,0.9099999999999999,0.01,0.4891201724889765,
30% Corpus,3,0.9099999999999999,0.31,0.48441928638695503,
30% Corpus,3,0.9099999999999999,0.61,0.4854411445560472,
30% Corpus,3,0.9099999999999999,0.9099999999999999,0.5032716045865904,
30% Corpus,3,0.9099999999999999,symmetric,0.48213588634367105,
30% Corpus,3,symmetric,0.01,0.4773802410646992,
30% Corpus,3,symmetric,0.31,0.4616703883230435,
