N_Neighbors,N_Components,Clustering_methods,Ngram_range,Coherence
5,3,HDBSCAN(),"(1, 1)",0.3754327050489134
5,3,HDBSCAN(),"(1, 2)",0.3786153402708534
5,3,KMeans(n_clusters=7),"(1, 1)",0.42944047351199527
5,3,KMeans(n_clusters=7),"(1, 2)",0.46738941181735627
5,5,HDBSCAN(),"(1, 1)",0.3752265335377597
5,5,HDBSCAN(),"(1, 2)",0.3746721927151484
5,5,KMeans(n_clusters=7),"(1, 1)",0.45904194454746494
5,5,KMeans(n_clusters=7),"(1, 2)",0.46005462253767465
5,7,HDBSCAN(),"(1, 1)",0.3795991669841959
5,7,HDBSCAN(),"(1, 2)",0.38450955096498074
5,7,KMeans(n_clusters=7),"(1, 1)",0.44550548147605357
5,7,KMeans(n_clusters=7),"(1, 2)",0.4616251009491177
10,3,HDBSCAN(),"(1, 1)",0.3758642144415747
10,3,HDBSCAN(),"(1, 2)",0.3749017965041191
10,3,KMeans(n_clusters=7),"(1, 1)",0.4777366889443418
10,3,KMeans(n_clusters=7),"(1, 2)",0.47929868593444214
10,5,HDBSCAN(),"(1, 1)",0.3749346266680565
10,5,HDBSCAN(),"(1, 2)",0.3760906823858615
10,5,KMeans(n_clusters=7),"(1, 1)",0.5296854900326781
10,5,KMeans(n_clusters=7),"(1, 2)",0.4592261490080816
10,7,HDBSCAN(),"(1, 1)",0.3874054246613988
10,7,HDBSCAN(),"(1, 2)",0.3804883755633665
10,7,KMeans(n_clusters=7),"(1, 1)",0.490091604756653
10,7,KMeans(n_clusters=7),"(1, 2)",0.4853550234062825
15,3,HDBSCAN(),"(1, 1)",0.36752995830931984
15,3,HDBSCAN(),"(1, 2)",0.37901165428631867
15,3,KMeans(n_clusters=7),"(1, 1)",0.4650058866511623
15,3,KMeans(n_clusters=7),"(1, 2)",0.4242640764182138
15,5,HDBSCAN(),"(1, 1)",0.37924584225464886
15,5,HDBSCAN(),"(1, 2)",0.38442594783306255
15,5,KMeans(n_clusters=7),"(1, 1)",0.47633082136756205
15,5,KMeans(n_clusters=7),"(1, 2)",0.49539561323304193
15,7,HDBSCAN(),"(1, 1)",0.3905383672742523
15,7,HDBSCAN(),"(1, 2)",0.37634645331523464
15,7,KMeans(n_clusters=7),"(1, 1)",0.5512787072027406
15,7,KMeans(n_clusters=7),"(1, 2)",0.48581239718216285
