Topics,Alpha,Silhouette_Score
2,0.01,0.0
2,0.31,0.0
2,0.61,0.0
2,0.9099999999999999,0.0
3,0.01,0.0
3,0.31,0.0
3,0.61,0.0
3,0.9099999999999999,0.0
4,0.01,0.004513368996453347
4,0.31,0.0
4,0.61,0.0
4,0.9099999999999999,0.0
5,0.01,0.003965305015475412
5,0.31,0.0
5,0.61,0.0
5,0.9099999999999999,0.0
6,0.01,0.006058705187918985
6,0.31,0.0
6,0.61,0.0
6,0.9099999999999999,0.0
7,0.01,0.005240118170880276
7,0.31,0.0
7,0.61,0.0
7,0.9099999999999999,0.0
8,0.01,0.007796548238756226
8,0.31,0.0
8,0.61,0.0
8,0.9099999999999999,0.0
9,0.01,0.006721734240627738
9,0.31,0.0
9,0.61,0.0
9,0.9099999999999999,0.0
10,0.01,0.007102534925208562
10,0.31,0.0
10,0.61,0.0
10,0.9099999999999999,0.0
