Validation_Set,Topics,Alpha,Beta,Coherence
30% Corpus,2,0.01,0.01,0.4446030366526338
30% Corpus,2,0.01,0.31,0.44044352864942105
30% Corpus,2,0.01,0.61,0.4850539621910712
30% Corpus,2,0.01,0.9099999999999999,0.5618313052812435
30% Corpus,2,0.01,symmetric,0.4590043789027669
30% Corpus,2,0.31,0.01,0.44818461454199343
30% Corpus,2,0.31,0.31,0.45081971965902956
30% Corpus,2,0.31,0.61,0.46605153113801834
30% Corpus,2,0.31,0.9099999999999999,0.5139607583268804
30% Corpus,2,0.31,symmetric,0.4496763489830007
30% Corpus,2,0.61,0.01,0.4450546076656725
30% Corpus,2,0.61,0.31,0.4517344562504827
30% Corpus,2,0.61,0.61,0.4517344562504826
30% Corpus,2,0.61,0.9099999999999999,0.4525184739783199
30% Corpus,2,0.61,symmetric,0.4517344562504827
30% Corpus,2,0.9099999999999999,0.01,0.45574423161826233
30% Corpus,2,0.9099999999999999,0.31,0.4450546076656725
30% Corpus,2,0.9099999999999999,0.61,0.4517344562504827
30% Corpus,2,0.9099999999999999,0.9099999999999999,0.4517344562504827
30% Corpus,2,0.9099999999999999,symmetric,0.4486044493741618
30% Corpus,2,symmetric,0.01,0.44818461454199354
30% Corpus,2,symmetric,0.31,0.4517344562504827
30% Corpus,2,symmetric,0.61,0.4427176383303467
30% Corpus,2,symmetric,0.9099999999999999,0.47595068549167896
30% Corpus,2,symmetric,symmetric,0.44872495126682393
30% Corpus,2,asymmetric,0.01,0.45321792023290575
30% Corpus,2,asymmetric,0.31,0.45309392346062854
30% Corpus,2,asymmetric,0.61,0.4655292279954919
30% Corpus,2,asymmetric,0.9099999999999999,0.4928377944025376
30% Corpus,2,asymmetric,symmetric,0.464895081449314
30% Corpus,3,0.01,0.01,0.441200205582307
30% Corpus,3,0.01,0.31,0.4916492511068367
30% Corpus,3,0.01,0.61,0.4231447158085584
30% Corpus,3,0.01,0.9099999999999999,0.5051784749051936
30% Corpus,3,0.01,symmetric,0.49472858194816216
30% Corpus,3,0.31,0.01,0.44136730119025464
30% Corpus,3,0.31,0.31,0.4808419068292739
30% Corpus,3,0.31,0.61,0.4285263872944427
30% Corpus,3,0.31,0.9099999999999999,0.4453048932094477
30% Corpus,3,0.31,symmetric,0.48393726568215095
30% Corpus,3,0.61,0.01,0.46125455642326035
30% Corpus,3,0.61,0.31,0.45988897640851717
30% Corpus,3,0.61,0.61,0.4765084322220843
30% Corpus,3,0.61,0.9099999999999999,0.43014935753594735
30% Corpus,3,0.61,symmetric,0.46287676409007944
30% Corpus,3,0.9099999999999999,0.01,0.46334604313695166
30% Corpus,3,0.9099999999999999,0.31,0.4664407817990875
30% Corpus,3,0.9099999999999999,0.61,0.467656129506838
30% Corpus,3,0.9099999999999999,0.9099999999999999,0.4558846083060663
30% Corpus,3,0.9099999999999999,symmetric,0.46334604313695166
30% Corpus,3,symmetric,0.01,0.44136730119025464
30% Corpus,3,symmetric,0.31,0.4770851028475978
30% Corpus,3,symmetric,0.61,0.5427091914245207
30% Corpus,3,symmetric,0.9099999999999999,0.4453048932094477
30% Corpus,3,symmetric,symmetric,0.48393726568215095
30% Corpus,3,asymmetric,0.01,0.46590267714113537
30% Corpus,3,asymmetric,0.31,0.4788518329104355
30% Corpus,3,asymmetric,0.61,0.49776810832219126
30% Corpus,3,asymmetric,0.9099999999999999,0.4102000398075832
30% Corpus,3,asymmetric,symmetric,0.4772741141863228
30% Corpus,4,0.01,0.01,0.4788793780734061
30% Corpus,4,0.01,0.31,0.4522164625299185
30% Corpus,4,0.01,0.61,0.5168399121842873
30% Corpus,4,0.01,0.9099999999999999,0.4122693853106355
30% Corpus,4,0.01,symmetric,0.5046725096747555
30% Corpus,4,0.31,0.01,0.4745741404060723
30% Corpus,4,0.31,0.31,0.4693201938941644
30% Corpus,4,0.31,0.61,0.44335807841777475
30% Corpus,4,0.31,0.9099999999999999,0.5054630399705756
30% Corpus,4,0.31,symmetric,0.47384023364029554
30% Corpus,4,0.61,0.01,0.48249895216347355
30% Corpus,4,0.61,0.31,0.48719515947433145
30% Corpus,4,0.61,0.61,0.5396052508918254
30% Corpus,4,0.61,0.9099999999999999,0.45772228839263135
30% Corpus,4,0.61,symmetric,0.4787795435815497
30% Corpus,4,0.9099999999999999,0.01,0.48230916438751364
30% Corpus,4,0.9099999999999999,0.31,0.4868683242530952
30% Corpus,4,0.9099999999999999,0.61,0.4796534343861349
30% Corpus,4,0.9099999999999999,0.9099999999999999,0.5542605725961348
30% Corpus,4,0.9099999999999999,symmetric,0.4810384737929819
30% Corpus,4,symmetric,0.01,0.4709814075831709
30% Corpus,4,symmetric,0.31,0.4616737668120682
30% Corpus,4,symmetric,0.61,0.4833387970980236
