Topic,Count,Keywords
-1,50485,
0,3174,
1,2239,
2,1112,
3,1111,
4,1110,
5,980,
6,898,
7,726,
8,572,
9,535,
10,516,
11,374,
12,365,
13,357,
14,336,
15,305,
16,304,
17,302,
18,296,
19,265,
20,262,
21,255,
22,254,
23,248,
24,241,
25,226,
26,219,
27,217,
28,217,
29,205,
30,201,
31,174,
32,169,
33,156,
34,152,
35,152,
36,150,
37,147,
38,147,
39,146,
40,143,
41,142,
42,135,
43,134,
44,130,
45,128,
46,119,
47,118,
48,117,
49,114,
50,113,
51,113,
52,112,
53,105,
54,102,
55,101,
56,100,
57,100,
58,100,
59,100,
60,100,
61,99,
62,98,
63,98,
64,97,
65,94,
66,91,
67,90,
68,89,
69,89,
70,88,
71,87,
72,86,
73,86,
74,86,
75,86,
76,84,
77,82,
78,82,
79,81,
80,81,
81,81,
82,79,
83,78,
84,78,
85,77,
86,77,
87,76,
88,76,
89,74,
90,74,
91,74,
92,71,
93,71,
94,71,
95,70,
96,67,
97,66,
98,66,
99,65,
100,64,
101,63,
102,63,
103,62,
104,62,
105,62,
106,60,
107,59,
108,59,
109,59,
110,59,
111,58,
112,58,
113,58,
114,58,
115,57,
116,57,
117,56,
118,55,
119,55,
120,54,
121,52,
122,52,
123,52,
124,52,
125,51,
126,51,
127,51,
128,51,
129,50,
130,50,
131,49,
132,49,
133,48,
134,47,
135,47,
136,47,
137,47,
138,47,
139,46,
140,46,
141,45,
142,45,
143,45,
144,45,
145,44,
146,43,
147,43,
148,43,
149,42,
150,42,
151,42,
152,42,
153,41,
154,41,
155,41,
156,41,
157,40,
158,40,
159,39,
160,39,
161,38,
162,38,
163,38,
164,38,
165,37,
166,36,
167,36,
168,36,
169,35,
170,34,
171,34,
172,34,
173,34,
174,33,
175,33,
176,33,
177,33,
178,33,
179,32,
180,32,
181,32,
182,32,
183,31,
184,31,
185,30,
186,30,
187,30,
188,30,
189,30,
190,30,
191,30,
192,30,
193,30,
194,30,
195,29,
196,29,
197,29,
198,29,
199,29,
200,29,
201,28,
202,28,
203,28,
204,28,
205,28,
206,28,
207,28,
208,28,
209,28,
210,27,
211,27,
212,27,
213,27,
214,27,
215,27,
216,27,
217,27,
218,26,
219,26,
220,26,
221,26,
222,26,
223,26,
224,26,
225,25,
226,25,
227,25,
228,25,
229,25,
230,25,
231,25,
232,24,
233,24,
234,24,
235,24,
236,24,
237,24,
238,24,
239,24,
240,23,
241,23,
242,23,
243,23,
244,23,
245,23,
246,23,
247,23,
248,23,
249,23,
250,23,
251,22,
252,22,
253,22,
254,22,
255,22,
256,22,
257,22,
258,22,
259,22,
260,22,
261,21,
262,21,
263,21,
264,21,
265,21,
266,21,
267,21,
268,21,
269,21,
270,20,
271,20,
272,20,
273,20,
274,20,
275,20,
276,20,
277,20,
278,20,
279,20,
280,20,
281,20,
282,20,
283,19,
284,19,
285,19,
286,19,
287,19,
288,19,
289,19,
290,19,
291,19,
292,19,
293,19,
294,19,
295,19,
296,19,
297,19,
298,19,
299,18,
300,18,
301,18,
302,18,
303,18,
304,18,
305,18,
306,18,
307,18,
308,18,
309,18,
310,18,
311,18,
312,18,
313,18,
314,18,
315,18,
316,18,
317,18,
318,18,
319,17,
320,17,
321,17,
322,17,
323,17,
324,17,
325,17,
326,17,
327,17,
328,17,
329,17,
330,17,
331,17,
332,17,
333,17,
334,17,
335,17,
336,16,
337,16,
338,16,
339,16,
340,16,
341,16,
342,16,
343,16,
344,16,
345,16,
346,16,
347,16,
348,16,
349,16,
350,16,
351,16,
352,16,
353,16,
354,16,
355,16,
356,16,
357,16,
358,15,
359,15,
360,15,
361,15,
362,15,
363,15,
364,15,
365,15,
366,15,
367,15,
368,15,
369,15,
370,15,
371,15,
372,15,
373,15,
374,15,
375,15,
376,15,
377,15,
378,15,
379,15,
380,15,
381,15,
382,14,
383,14,
384,14,
385,14,
386,14,
387,14,
388,14,
389,14,
390,14,
391,14,
392,14,
393,14,
394,14,
395,14,
396,14,
397,14,
398,14,
399,14,
400,14,
401,14,
402,14,
403,14,
404,14,
405,14,
406,14,
407,14,
408,13,
409,13,
410,13,
411,13,
412,13,
413,13,
414,13,
415,13,
416,13,
417,13,
418,13,
419,13,
420,13,
421,13,
422,13,
423,13,
424,13,
425,13,
426,13,
427,13,
428,13,
429,13,
430,13,
431,13,
432,13,
433,13,
434,13,
435,13,
436,13,
437,13,
438,13,
439,13,
440,13,
441,13,
442,13,
443,13,
444,13,
445,13,
446,13,
447,13,
448,12,
449,12,
450,12,
451,12,
452,12,
453,12,
454,12,
455,12,
456,12,
457,12,
458,12,
459,12,
460,12,
461,12,
462,12,
463,12,
464,12,
465,12,
466,12,
467,12,
468,12,
469,12,
470,12,
471,12,
472,12,
473,12,
474,12,
475,12,
476,12,
477,12,
478,12,
479,12,
480,12,
481,12,
482,12,
483,12,
484,11,
485,11,
486,11,
487,11,
488,11,
489,11,
490,11,
491,11,
492,11,
493,11,
494,11,
495,11,
496,11,
497,11,
498,11,
499,11,
500,11,
501,11,
502,11,
503,11,
504,11,
505,11,
506,11,
507,11,
508,11,
509,11,
510,11,
511,11,
512,11,
513,11,
514,11,
515,11,
516,11,
517,11,
518,11,
519,11,
520,11,
521,11,
522,11,
523,11,
524,11,
525,11,
526,11,
527,11,
528,11,
529,11,
530,11,
531,11,
532,11,
533,10,
534,10,
535,10,
536,10,
537,10,
538,10,
539,10,
540,10,
541,10,
542,10,
543,10,
544,10,
545,10,
546,10,
547,10,
548,10,
549,10,
550,10,
551,10,
552,10,
553,10,
554,10,
555,10,
556,10,
557,10,
558,10,
559,10,
560,10,
561,10,
562,10,
563,10,
564,10,
565,10,
566,10,
567,10,
568,10,
569,10,
570,10,
571,10,
572,10,
573,10,
574,10,
575,10,
576,10,
577,10,
578,10,
579,10,
580,10,
581,10,
582,10,
583,10,
584,10,
585,10,
586,10,
587,10,
588,10,
589,10,
590,10,
591,10,
592,10,
593,10,
594,9,
595,9,
596,9,
597,9,
598,9,
599,9,
600,9,
601,9,
602,9,
603,9,
604,9,
605,9,
606,9,
607,9,
608,9,
609,9,
610,9,
611,9,
612,9,
613,9,
614,9,
615,9,
616,9,
617,9,
618,9,
619,9,
620,9,
621,9,
622,9,
623,9,
624,9,
625,9,
626,9,
627,9,
628,9,
629,9,
630,9,
631,9,
632,9,
633,9,
634,9,
635,9,
636,9,
637,9,
638,9,
639,9,
640,9,
641,9,
642,9,
643,9,
644,9,
645,9,
646,9,
647,9,
648,9,
649,9,
650,9,
651,9,
652,9,
653,9,
654,9,
655,9,
656,9,
657,9,
658,9,
659,9,
660,9,
661,9,
662,8,
663,8,
664,8,
665,8,
666,8,
667,8,
668,8,
669,8,
670,8,
671,8,
672,8,
673,8,
674,8,
675,8,
676,8,
677,8,
678,8,
679,8,
680,8,
681,8,
682,8,
683,8,
684,8,
685,8,
686,8,
687,8,
688,8,
689,8,
690,8,
691,8,
692,8,
693,8,
694,8,
695,8,
696,8,
697,8,
698,8,
699,8,
700,8,
701,8,
702,8,
703,8,
704,8,
705,8,
706,8,
707,8,
708,8,
709,8,
710,8,
711,8,
712,8,
713,8,
714,8,
715,8,
716,8,
717,8,
718,8,
719,8,
720,8,
721,8,
722,8,
723,8,
724,8,
725,8,
726,8,
727,8,
728,8,
729,8,
730,8,
731,8,
732,8,
733,8,
734,8,
735,8,
736,8,
737,8,
738,8,
739,8,
740,8,
741,8,
742,8,
743,8,
744,8,
745,8,
746,8,
747,8,
748,8,
749,8,
750,8,
751,7,
752,7,
753,7,
