Validation_Set,Topics,Alpha,Beta,Coherence
30% Corpus,2,0.01,0.01,0.4396714447978737
30% Corpus,2,0.01,0.31,0.43755478370737977
30% Corpus,2,0.01,0.61,0.4850539621910712
30% Corpus,2,0.01,0.9099999999999999,0.5618313052812434
30% Corpus,2,0.01,symmetric,0.45900437890276685
30% Corpus,2,0.31,0.01,0.44818461454199343
30% Corpus,2,0.31,0.31,0.4529113826607828
30% Corpus,2,0.31,0.61,0.4668512869664714
30% Corpus,2,0.31,0.9099999999999999,0.5426758578883897
30% Corpus,2,0.31,symmetric,0.44967634898300074
30% Corpus,2,0.61,0.01,0.4450546076656725
30% Corpus,2,0.61,0.31,0.4517344562504827
30% Corpus,2,0.61,0.61,0.45213016540154316
30% Corpus,2,0.61,0.9099999999999999,0.4525184739783199
30% Corpus,2,0.61,symmetric,0.4517344562504827
30% Corpus,2,0.9099999999999999,0.01,0.45574423161826233
30% Corpus,2,0.9099999999999999,0.31,0.4450546076656725
30% Corpus,2,0.9099999999999999,0.61,0.4517344562504827
30% Corpus,2,0.9099999999999999,0.9099999999999999,0.4517344562504827
30% Corpus,2,0.9099999999999999,symmetric,0.4486044493741618
30% Corpus,2,symmetric,0.01,0.44818461454199354
30% Corpus,2,symmetric,0.31,0.4517344562504827
30% Corpus,2,symmetric,0.61,0.44271763833034683
30% Corpus,2,symmetric,0.9099999999999999,0.4539589591335226
30% Corpus,2,symmetric,symmetric,0.4517344562504826
30% Corpus,2,asymmetric,0.01,0.45867905459010433
30% Corpus,2,asymmetric,0.31,0.45145045119426486
30% Corpus,2,asymmetric,0.61,0.464895081449314
30% Corpus,2,asymmetric,0.9099999999999999,0.4928377944025376
30% Corpus,2,asymmetric,symmetric,0.46054241707515753
30% Corpus,3,0.01,0.01,0.43791888235183524
30% Corpus,3,0.01,0.31,0.4916492511068367
30% Corpus,3,0.01,0.61,0.41287789856914997
30% Corpus,3,0.01,0.9099999999999999,0.4818412340051563
30% Corpus,3,0.01,symmetric,0.4916492511068367
30% Corpus,3,0.31,0.01,0.4400496744054932
30% Corpus,3,0.31,0.31,0.47708510284759775
30% Corpus,3,0.31,0.61,0.5332292933118091
30% Corpus,3,0.31,0.9099999999999999,0.4453048932094477
30% Corpus,3,0.31,symmetric,0.48393726568215095
30% Corpus,3,0.61,0.01,0.46125455642326035
30% Corpus,3,0.61,0.31,0.45614352788661733
30% Corpus,3,0.61,0.61,0.4765084322220843
30% Corpus,3,0.61,0.9099999999999999,0.4304384557937297
30% Corpus,3,0.61,symmetric,0.4595171068171955
30% Corpus,3,0.9099999999999999,0.01,0.4619852456826163
30% Corpus,3,0.9099999999999999,0.31,0.46334604313695166
